lang,url,stars,description
JS,https://github.com/usebruno/bruno,"21,738",Opensource IDE For Exploring and Testing Api's (lightweight alternative to postman/insomnia)
JS,https://github.com/cypress-io/cypress,"46,420","Fast, easy and reliable testing for anything that runs in a browser."
JS,https://github.com/sudheerj/javascript-interview-questions,"22,757",List of 1000 JavaScript Interview Questions
JS,https://github.com/zadam/trilium,"26,138",Build your personal knowledge base with Trilium Notes
JS,https://github.com/maboloshi/github-chinese,"4,078",GitHub 汉化插件，GitHub 中文化界面。 (GitHub Translation To Chinese)
JS,https://github.com/microsoft/botframework-sdk,"7,427",Bot Framework provides the most comprehensive experience for building conversation applications.
JS,https://github.com/ciiiii/cloudflare-docker-proxy,850,A docker registry proxy run on cloudflare worker.
JS,https://github.com/Automattic/mongoose,"26,759",MongoDB object modeling designed to work in an asynchronous environment.
JS,https://github.com/toncenter/tonweb,424,JavaScript SDK for TON (The Open Network)
JS,https://github.com/SillyTavern/SillyTavern,"6,717",LLM Frontend for Power Users.
JS,https://github.com/badges/shields,"22,987","Concise, consistent, and legible badges in SVG and raster format"
JS,https://github.com/kkevsekk1/AutoX,"6,699","A UiAutomator on android, does not need root access(安卓平台上的JavaScript自动化工具)"
JS,https://github.com/SBoudrias/Inquirer.js,"19,665",A collection of common interactive command line user interfaces.
JS,https://github.com/facebook/create-react-app,"102,211",Set up a modern web app by running one command.
JS,https://github.com/wg-easy/wg-easy,"12,735",The easiest way to run WireGuard VPN + Web-based Admin UI.
JS,https://github.com/plankanban/planka,"7,304",The realtime kanban board for workgroups built with React and Redux.
JS,https://github.com/antfu/vscode-file-nesting-config,"2,849",Config of File Nesting for VS Code
JS,https://github.com/UnblockNeteaseMusic/server,"5,940",Revive unavailable songs for Netease Cloud Music (Refactored & Enhanced version)
JS,https://github.com/rolling-scopes-school/tasks,"3,282",
JS,https://github.com/TheRealJoelmatic/RemoveAdblockThing,"5,909","The intrusive ""Ad blocker are not allowed on YouTube"" message is annoying. This open-source project aims to address this issue by providing a solution to bypass YouTube's ad blocker detection"
JS,https://github.com/liriliri/eruda,"18,053",Console for mobile browsers
JS,https://github.com/denysdovhan/wtfjs,"34,564",🤪 A list of funny and tricky JavaScript examples
JS,https://github.com/sampotts/plyr,"26,021","A simple HTML5, YouTube and Vimeo player"
JS,https://github.com/meshery/meshery,"5,100","Meshery, the cloud native manager"
JS,https://github.com/WhiskeySockets/Baileys,"3,092",Lightweight full-featured typescript/javascript WhatsApp Web API
JS,https://github.com/lodash/lodash,"59,243","A modern JavaScript utility library delivering modularity, performance, & extras."
JS,https://github.com/github/docs,"15,757",The open-source repo for docs.github.com
JS,https://github.com/eligrey/FileSaver.js,"21,384",An HTML5 saveAs() FileSaver implementation
JS,https://github.com/mjmlio/mjml,"16,685",MJML: the only framework that makes responsive-email easy
JS,https://github.com/react-dropzone/react-dropzone,"10,409",Simple HTML5 drag-drop zone with React.js.
JS,https://github.com/LeCoupa/awesome-cheatsheets,"38,470","👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file."
JS,https://github.com/nasa/openmct,"11,902",A web based mission control framework.
JS,https://github.com/invertase/react-native-firebase,"11,527",🔥 A well-tested feature-rich modular Firebase implementation for React Native. Supports both iOS & Android platforms for all Firebase services.
JS,https://github.com/max32002/tixcraft_bot,"2,288",MaxBot open source code bot
JS,https://github.com/dotenvx/dotenvx,"1,947",a better dotenv–from the creator of `dotenv`
Java,https://github.com/kekingcn/kkFileView,"10,232",Universal File Online Preview Project based on Spring-Boot
Java,https://github.com/software-mansion/react-native-svg,"7,348","SVG library for React Native, React Native Web, and plain React web projects."
Java,https://github.com/Creators-of-Create/Create,"2,690",[Forge Mod] Building Tools and Aesthetic Technology
Java,https://github.com/cabaletta/baritone,"6,879",google maps for block game
Java,https://github.com/GrimAnticheat/Grim,994,"Fully async, multithreaded, predictive, open source, 3.01 reach, 1.005 timer, 0.01% speed, 99.99% antikb, ""bypassable"" 1.8-1.20 anticheat."
Java,https://github.com/opensearch-project/OpenSearch,"9,008",🔎 Open source distributed and RESTful search engine.
Java,https://github.com/beemdevelopment/Aegis,"8,411","A free, secure and open source app for Android to manage your 2-step verification tokens."
Java,https://github.com/jhy/jsoup,"10,770","jsoup: the Java HTML parser, built for HTML editing, cleaning, scraping, and XSS safety."
Java,https://github.com/alibaba/easyexcel,"31,406",快速、简洁、解决大文件内存溢出的java处理Excel工具
Java,https://github.com/Anuken/Mindustry,"21,629",The automation tower defense RTS
Java,https://github.com/Grasscutters/Grasscutter,"15,908",A server software reimplementation for a certain anime game.
Java,https://github.com/yuliskov/SmartTube,"17,071",SmartTube - an advanced player for set-top boxes and tvs running Android OS
Java,https://github.com/testcontainers/testcontainers-java,"7,878","Testcontainers is a Java library that supports JUnit tests, providing lightweight, throwaway instances of common databases, Selenium web browsers, or anything else that can run in a Docker container."
Java,https://github.com/novicezk/midjourney-proxy,"4,488",代理 MidJourney 的discord频道，实现api形式调用AI绘图
Java,https://github.com/CatVodTVOfficial/TVBoxOSC,"7,979",真的没有QQ群、QQ频道、论坛。打包分发注意开源协议，保留出处，不守规矩就不要搞。
Java,https://github.com/kermitt2/grobid,"3,260",A machine learning software for extracting information from scholarly documents
Java,https://github.com/deepjavalibrary/djl,"3,960",An Engine-Agnostic Deep Learning Framework in Java
Java,https://github.com/DrKLO/Telegram,"24,049",Telegram for Android source
Java,https://github.com/PaperMC/Paper,"9,378","The most widely used, high performance Minecraft server that aims to fix gameplay and mechanics inconsistencies"
Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,"16,031","This repository consists of the code samples, assignments, and notes for the Java data structures & algorithms + interview preparation bootcamp of WeMakeDevs."
Java,https://github.com/xuchengsheng/spring-reading,"6,208",涵盖了 Spring 框架的核心概念和关键功能，包括控制反转（IOC）容器的使用，面向切面编程（AOP）的原理与实践，事务管理的方式与实现，Spring MVC 的流程与控制器工作机制，以及 Spring 中数据访问、安全、Boot 自动配置等方面的深入研究。此外，它还包含了 Spring 事件机制的应用、高级主题如缓存抽象和响应式编程，以及对 Spring 源码的编程风格与设计模式的深入探讨。
Java,https://github.com/jeremylong/DependencyCheck,"6,130",OWASP dependency-check is a software composition analysis utility that detects publicly disclosed vulnerabilities in application dependencies.
Java,https://github.com/PojavLauncherTeam/PojavLauncher,"6,112",A Minecraft: Java Edition Launcher for Android and iOS based on Boardwalk. This repository contains source code for Android platform.
Java,https://github.com/jeecgboot/JeecgBoot,"38,499",🔥「企业级低代码平台」前后端分离架构SpringBoot 2.x/3.x，SpringCloud，Ant Design&Vue3，Mybatis，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新的开发模式OnlineCoding->代码生成->手工MERGE，帮助Java项目解决70%重复工作，让开发更关注业务，既能快速提高效率，帮助公司节省成本，同时又不失灵活性。
Java,https://github.com/krahets/hello-algo,"79,804","《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version ongoing"
Java,https://github.com/termux/termux-app,"32,963",Termux - a terminal emulator application for Android OS extendible by variety of packages.
Java,https://github.com/thingsboard/thingsboard,"16,149","Open-source IoT Platform - Device management, data collection, processing and visualization."
Java,https://github.com/apache/iceberg,"5,868",Apache Iceberg
Java,https://github.com/NationalSecurityAgency/ghidra,"49,091",Ghidra is a software reverse engineering (SRE) framework
Java,https://github.com/keycloak/keycloak,"20,976",Open Source Identity and Access Management For Modern Applications and Services
Java,https://github.com/GeyserMC/Geyser,"4,599",A bridge/proxy allowing you to connect to Minecraft: Java Edition servers with Minecraft: Bedrock Edition.
Java,https://github.com/TheAlgorithms/Java,"57,632",All Algorithms implemented in Java
Java,https://github.com/androidx/media,"1,367","Jetpack Media3 support libraries for media use cases, including ExoPlayer, an extensible media player for Android"
Java,https://github.com/TeamNewPipe/NewPipe,"29,502",A libre lightweight streaming front-end for Android.
Java,https://github.com/WuKongOpenSource/WukongCRM-11.0-JAVA,"6,091",悟空CRM-基于Spring Cloud Alibaba微服务架构 +vue ElementUI的前后端分离CRM系统
Java,https://github.com/runelite/runelite,"4,670",Open source Old School RuneScape client
Java,https://github.com/WuKongOpenSource/Wukong_HRM,"3,834",悟空HRM人力资源管理系统-提供入职管理、招聘管理、绩效考核管理等一站式人力管理流程
Java,https://github.com/flyway/flyway,"7,927",Flyway by Redgate • Database Migrations Made Easy.
Java,https://github.com/apache/doris,"11,847","Apache Doris is an easy-to-use, high performance and unified analytics database."
Java,https://github.com/apache/gravitino,681,"World's most powerful open data catalog for building a high-performance, geo-distributed and federated metadata lake."
Java,https://github.com/rubenlagus/TelegramBots,"4,548",Java library to create bots using Telegram Bots API
Java,https://github.com/doocs/leetcode,"29,815",🔥LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解
Java,https://github.com/signalapp/Signal-Android,"25,155",A private messenger for Android.
Java,https://github.com/karma9874/AndroRAT,"2,829",A Simple android remote administration tool using sockets. It uses java on the client side and python on the server side
Java,https://github.com/Stirling-Tools/Stirling-PDF,"29,540",#1 Locally hosted web application that allows you to perform various operations on PDF files
Java,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,"20,926",FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.
Java,https://github.com/MeteorDevelopment/meteor-client,"1,992",Based Minecraft utility mod.
Java,https://github.com/FCL-Team/FoldCraftLauncher,"1,032","Fold Craft Launcher, an Android Minecraft : Java Edition launcher."
Java,https://github.com/apache/hive,"5,407",Apache Hive
Java,https://github.com/iluwatar/java-design-patterns,"88,304",Design patterns implemented in Java
Java,https://github.com/Querz/mcaselector,"3,050",A tool to select chunks from Minecraft worlds for deletion or export.
Java,https://github.com/hkhcoder/vprofile-project,173,
Java,https://github.com/yudaocode/SpringBoot-Labs,"18,712",一个涵盖六个专栏：Spring Boot 2.X、Spring Cloud、Spring Cloud Alibaba、Dubbo、分布式消息队列、分布式事务的仓库。希望胖友小手一抖，右上角来个 Star，感恩 1024
Java,https://github.com/AutoMQ/automq,"2,029",AutoMQ is a cloud-native fork of Kafka by separating storage to S3 and EBS. 10x cost-effective. Autoscale in seconds. Single-digit ms latency.
Java,https://github.com/Activiti/Activiti,"9,986","Activiti is a light-weight workflow and Business Process Management (BPM) Platform targeted at business people, developers and system admins. Its core is a super-fast and rock-solid BPMN 2 process engine for Java. It's open-source and distributed under the Apache license. Activiti runs in any Java application, on a server, on a cluster or in the…"
Java,https://github.com/alibaba/druid,"27,766",阿里云计算平台DataWorks(https://help.aliyun.com/document_detail/137663.html) 团队出品，为监控而生的数据库连接池
Java,https://github.com/TechEmpower/FrameworkBenchmarks,"7,441",Source for the TechEmpower Framework Benchmarks project
Java,https://github.com/LawnchairLauncher/lawnchair,"8,855",No clever tagline needed.
Java,https://github.com/doocs/advanced-java,"75,084",😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
Java,https://github.com/TeamAmaze/AmazeFileManager,"5,142",Material design file manager for Android
Java,https://github.com/itwanger/toBeBetterJavaer,"12,496",一份通俗易懂、风趣幽默的Java学习指南，内容涵盖Java基础、Java并发编程、Java虚拟机、Java企业级开发、Java面试等核心知识点。学Java，就认准二哥的Java进阶之路😄
Java,https://github.com/elastic/logstash,"14,093","Logstash - transport and process your logs, events, or other data"
Java,https://github.com/microg/GmsCore,"7,631",Free implementation of Play Services
Java,https://github.com/geoserver/geoserver,"3,661",Official GeoServer repository
Java,https://github.com/IzzelAliz/Arclight,"1,423",A Bukkit(1.19/1.20) server implementation in modding environment using Mixin. ⚡
Java,https://github.com/FabricMC/fabric,"2,183",Essential hooks for modding with Fabric.
Java,https://github.com/Helium314/HeliBoard,"1,859",Customizable and privacy-conscious open-source keyboard
Java,https://github.com/prestodb/presto,"15,740",The official home of the Presto distributed SQL query engine for big data
Java,https://github.com/ReChronoRain/HyperCeiler,"1,885",MIUI & HyperOS enhancement module - Make MIUI & HyperOS Great Again!
Java,https://github.com/bitcoin-wallet/bitcoin-wallet,"3,609","Bitcoin Wallet app for your Android device. Standalone Bitcoin node, no centralized backend required."
Java,https://github.com/apache/flink,"23,500",Apache Flink
Java,https://github.com/alibaba/DataX,"15,460",DataX是阿里云DataWorks数据集成的开源版本。
Java,https://github.com/google/gson,"23,120",A Java serialization/deserialization library to convert Java Objects into JSON and back
Java,https://github.com/YunaiV/ruoyi-vue-pro,"25,537",🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP 等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！
Java,https://github.com/apache/cassandra,"8,592",Mirror of Apache Cassandra
Java,https://github.com/StarRocks/starrocks,"8,288","StarRocks, a Linux Foundation project, is a next-generation sub-second MPP OLAP database for full analytics scenarios, including multi-dimensional analytics, real-time analytics, and ad-hoc queries."
Java,https://github.com/google/ExoPlayer,"21,616",An extensible media player for Android
Java,https://github.com/real-logic/aeron,"7,161","Efficient reliable UDP unicast, UDP multicast, and IPC message transport"
Java,https://github.com/langchain4j/langchain4j,"3,891",Java version of LangChain
Java,https://github.com/exadel-inc/CompreFace,"4,916",Leading free and open-source face recognition system
Java,https://github.com/apache/incubator-seata,"25,079","🔥 Seata is an easy-to-use, high-performance, open source distributed transaction solution."
Java,https://github.com/confluentinc/ksql,"5,875",The database purpose-built for stream processing applications.
Java,https://github.com/alibaba/canal,"28,069",阿里巴巴 MySQL binlog 增量订阅&消费组件
Java,https://github.com/dbeaver/dbeaver,"38,366",Free universal database tool and SQL client
Java,https://github.com/liquibase/liquibase,"4,509",Main Liquibase Source
Java,https://github.com/SeleniumHQ/selenium,"29,770",A browser automation framework and ecosystem.
Java,https://github.com/kdn251/interviews,"62,725",Everything you need to know to get the job.
Java,https://github.com/LMAX-Exchange/disruptor,"17,155",High Performance Inter-Thread Messaging Library
Java,https://github.com/apache/flink-cdc,"5,464",Flink CDC is a streaming data integration tool
Java,https://github.com/Snailclimb/JavaGuide,"144,667",「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
Java,https://github.com/IrisShaders/Iris,"3,223",A modern shaders mod for Minecraft compatible with existing OptiFine shader packs
Java,https://github.com/neoforged/NeoForge,"1,038","Neo Modding API for Minecraft, based on Forge"
Java,https://github.com/JSQLParser/JSqlParser,"5,188",JSqlParser parses an SQL statement and translate it into a hierarchy of Java classes. The generated hierarchy can be navigated using the Visitor Pattern
Java,https://github.com/apache/beam,"7,677",Apache Beam is a unified programming model for Batch and Streaming data processing.
Java,https://github.com/eugenp/tutorials,"36,272","Just Announced - ""Learn Spring Security OAuth"":"
Java,https://github.com/OpenAPITools/openapi-generator,"20,560","OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)"
Java,https://github.com/grpc/grpc-java,"11,256",The Java gRPC implementation. HTTP/2 based RPC
Java,https://github.com/libgdx/libgdx,"22,944",Desktop/Android/HTML5/iOS Java game development framework
Java,https://github.com/skylot/jadx,"40,009",Dex to Java decompiler
Java,https://github.com/apache/nifi,"4,581",Apache NiFi
Java,https://github.com/zxing/zxing,"32,467","ZXing (""Zebra Crossing"") barcode scanning library for Java, Android"
Java,https://github.com/quarkusio/quarkus-quickstarts,"1,920",Quarkus quickstart code
Java,https://github.com/airbytehq/airbyte-platform,177,The platform that powers Airbyte. Please file issues inhttps://github.com/airbytehq/airbyte
Java,https://github.com/scwang90/SmartRefreshLayout,"24,795",🔥下拉刷新、上拉加载、二级刷新、淘宝二楼、RefreshLayout、OverScroll，Android智能下拉刷新框架，支持越界回弹、越界拖动，具有极强的扩展性，集成了几十种炫酷的Header和 Footer。
Java,https://github.com/alibaba/Sentinel,"22,151","A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)"
Java,https://github.com/DependencyTrack/dependency-track,"2,437",Dependency-Track is an intelligent Component Analysis platform that allows organizations to identify and reduce risk in the software supply chain.
Java,https://github.com/debezium/debezium,"10,143",Change data capture for a variety of databases. Please log issues athttps://issues.redhat.com/browse/DBZ.
Java,https://github.com/ddd-by-examples/library,"4,551",A comprehensive Domain-Driven Design example with problem space strategic analysis and various tactical patterns.
Java,https://github.com/mywalkb/LSPosed_mod,"2,041",My changes to LSPosed
Java,https://github.com/provectus/kafka-ui,"8,962",Open-Source Web UI for Apache Kafka Management
Java,https://github.com/devopshydclub/vprofile-project,"2,148",
Java,https://github.com/apache/hbase,"5,160",Apache HBase
Java,https://github.com/apache/pulsar,"13,942",Apache Pulsar - distributed pub-sub messaging system
