url,stars,description
https://github.com/leejet/stable-diffusion.cpp,"2,878",Stable Diffusion in pure C/C++
https://github.com/google/perfetto,"2,558","Performance instrumentation and tracing for Android, Linux and Chrome (read-only mirror ofhttps://android.googlesource.com/platform/external/perfetto/)"
https://github.com/farm-fe/farm,"3,702",Extremely fast Vite-compatible web build tool written in Rust
https://github.com/vercel/turbo,"25,452","Incremental bundler and build system optimized for JavaScript and TypeScript, written in Rust – including Turbopack and Turborepo."
https://github.com/librespot-org/librespot,"4,445",Open Source Spotify client library
https://github.com/rwf2/Rocket,"23,757",A web framework for Rust.
https://github.com/Wilfred/difftastic,"19,891",a structural diff that understands syntax 🟥🟩
https://github.com/szabodanika/microbin,"2,461","A secure, configurable file-sharing and URL shortening web app written in Rust."
https://github.com/veeenu/eldenring-practice-tool,113,Elden Ring speedrunning practice tool
https://github.com/Rigellute/spotify-tui,"16,844",Spotify for the terminal written in Rust 🚀
https://github.com/gleam-lang/gleam,"16,346","⭐️ A friendly language for building type-safe, scalable systems!"
https://github.com/rust-unofficial/awesome-rust,"44,287",A curated list of Rust code and resources.
https://github.com/hickory-dns/hickory-dns,"3,776","A Rust based DNS client, server, and resolver"
https://github.com/jmshrv/finamp,"1,661",A Jellyfin music client for mobile
https://github.com/jonataslaw/getx,"10,009","Open screens/snackbars/dialogs/bottomSheets without context, manage states and inject dependencies easily with Get."
https://github.com/Baseflow/flutter-permission-handler,"1,993","Permission plugin for Flutter. This plugin provides a cross-platform (iOS, Android) API to request and check permissions."
https://github.com/AgoraIO-Extensions/Agora-Flutter-SDK,719,Flutter plugin of Agora RTC SDK for Android/iOS/macOS/Windows
https://github.com/boskokg/flutter_blue_plus,650,"Flutter plugin for connecting and communicationg with Bluetooth Low Energy devices, on Android and iOS"
https://github.com/SimformSolutionsPvtLtd/flutter_calendar_view,389,A Flutter package allows you to easily implement all calendar UI and calendar event functionality. 👌🔝🎉
https://github.com/firebase/flutterfire,"8,493",🔥 A collection of Firebase plugins for Flutter apps.
https://github.com/aleksanderwozniak/table_calendar,"1,752","Highly customizable, feature-packed calendar widget for Flutter"
https://github.com/dotnet/AspNetCore.Docs,"12,427",Documentation for ASP.NET Core
https://github.com/kgrzybek/modular-monolith-with-ddd,"10,573",Full Modular Monolith application with Domain-Driven Design approach.
https://github.com/mini-software/MiniExcel,"2,505","Fast, Low-Memory, Easy Excel .NET helper to import/export/template spreadsheet (support Linux, Mac)"
https://github.com/mRemoteNG/mRemoteNG,"8,571","mRemoteNG is the next generation of mRemote, open source, tabbed, multi-protocol, remote connections manager."
https://github.com/dotnetcore/CAP,"6,524","Distributed transaction solution in micro-service base on eventually consistency, also an eventbus with Outbox pattern"
https://github.com/Azure-Samples/cognitive-services-speech-sdk,"2,671",Sample code for the Microsoft Cognitive Services Speech SDK
https://github.com/HandyOrg/HandyControl,"5,813",Contains some simple and commonly used WPF controls
https://github.com/HangfireIO/Hangfire,"9,169",An easy way to perform background job processing in .NET and .NET Core applications. No Windows Service or separate process required
https://github.com/Azure/azure-functions-durable-extension,710,Durable Task Framework extension for Azure Functions
https://github.com/jasontaylordev/CleanArchitecture,"16,061",Clean Architecture Solution Template for ASP.NET Core
https://github.com/JoshClose/CsvHelper,"4,609",Library to help reading and writing CSV files
